companyName,Satisfaction_Metrics,Workplace_Culture,Management_Aspects,Compensation
Barton,"6.4",5.7,5.8,5.8
Brady and Jackson,5.4,5.4,5.9,5.1
Buchanan Inc,6.0,5.8,5.7,5.1
Castillo Inc,6.3,5.8,5.8,6.0
Contreras LtdGreen-Ortiz,6.1,5.8,6.1,5.7
Dawson Ltd,6.0,5.6,5.8,6.2
Faulkner and Miller,6.3,5.9,5.8,5.1
Fernandez-Hatfield,6.2,5.9,5.8,6.1
Grimes-Garcia,5.4,5.8,5.7,5.2
Hall-Young,6.2,5.6,5.4,6.1
Holden-Harrison,6.4,5.7,5.6,5.8
Hunt-Williams,6.0,5.7,5.8,5.9
Jacobs Ltd,5.7,5.9,5.4,5.3
Jones-Kelley,6.0,5.9,5.7,5.2
Lindsey and BrooksHaley-Gonzalez,6.3,6.1,6.1,5.2
Maddox Ltd,6.1,6.0,5.5,5.8
Martin LLC,6.1,5.7,5.9,5.4
Miller-Carson,5.7,5.2,5.3,5.3
Nguyen Group,6.0,5.4,5.8,5.8
Porter Ltd,6.2,6.3,5.7,5.6
Thomas Ltd,5.0,5.6,5.9,5.5
Webb-Reynolds,5.8,5.6,5.7,5.7
Willis-Ramirez,6.3,5.6,5.4,5.3
OVERALL_AVERAGE,6.0,5.7,5.7,5.6
